CR_07890W_A	EFG1	C1_13610C_A	KIS2	Direct
CR_07890W_A	EFG1	C1_13830C_A	PDX1	Direct
CR_07890W_A	EFG1	C1_08350C_A	C1_08350C_A	Direct
CR_07890W_A	EFG1	C7_03230C_A	C7_03230C_A	Direct Positive
CR_07890W_A	EFG1	C1_12290C_A	RBD1	Direct
CR_07890W_A	EFG1	C3_05180W_A	RHB1	Direct
CR_07890W_A	EFG1	C7_01760C_A	ISU1	Direct
CR_07890W_A	EFG1	C3_06470W_A	AAF1	Direct
CR_07890W_A	EFG1	CR_00440C_A	LRG1	Direct
CR_07890W_A	EFG1	CR_00310C_A	CR_00310C_A	Direct
CR_07890W_A	EFG1	CR_10100C_A	INO1	Direct Positive
CR_07890W_A	EFG1	CR_10160W_A	FAA4	Direct
CR_07890W_A	EFG1	C6_00890W_A	C6_00890W_A	Direct
CR_07890W_A	EFG1	C2_06680W_A	FRP3	Direct
CR_07890W_A	EFG1	C3_01560W_A	C3_01560W_A	Direct
CR_07890W_A	EFG1	C1_10850W_A	C1_10850W_A	Direct
CR_07890W_A	EFG1	C4_02740W_A	C4_02740W_A	Direct
CR_07890W_A	EFG1	C4_02370C_A	PGA59	Direct
CR_07890W_A	EFG1	CR_02630C_A	CR_02630C_A	Direct
CR_07890W_A	EFG1	C4_06580W_A	CBF1	Direct
CR_07890W_A	EFG1	C1_03090W_A	RPS1	Direct
CR_07890W_A	EFG1	C3_00800W_A	MIH1	Direct
CR_07890W_A	EFG1	C1_01700W_A	ARP8	Direct
CR_07890W_A	EFG1	C1_08510W_A	EAF6	Direct
CR_07890W_A	EFG1	C2_09150W_A	MIT1	Direct
CR_07890W_A	EFG1	C5_01590W_A	C5_01590W_A	Direct
CR_07890W_A	EFG1	C4_00760W_A	ZCF21	Direct
CR_07890W_A	EFG1	C6_00490W_A	C6_00490W_A	Direct
CR_07890W_A	EFG1	CR_03930C_A	CR_03930C_A	Direct
CR_07890W_A	EFG1	C1_09330W_A	C1_09330W_A	Direct
CR_07890W_A	EFG1	C1_10020W_A	SFU1	Direct
CR_07890W_A	EFG1	C1_13350W_A	STP2	Direct
CR_07890W_A	EFG1	C1_13840W_A	C1_13840W_A	Direct
CR_07890W_A	EFG1	C1_13940W_A	SIM1	Direct
CR_07890W_A	EFG1	C7_03240W_A	C7_03240W_A	Direct
CR_07890W_A	EFG1	C5_00710W_A	IFF8	Direct
CR_07890W_A	EFG1	CR_06450W_A	CR_06450W_A	Direct
CR_07890W_A	EFG1	C2_03710W_A	MNN41	Direct
CR_07890W_A	EFG1	C5_03890C_A	C5_03890C_A	Direct
CR_07890W_A	EFG1	C2_01000W_A	HGT7	Direct
CR_07890W_A	EFG1	C2_00220C_A	C2_00220C_A	Direct
CR_07890W_A	EFG1	C2_06800C_A	C2_06800C_A	Direct
CR_07890W_A	EFG1	C3_02460C_A	PHA2	Direct
CR_07890W_A	EFG1	C3_02470C_A	RPL9B	Direct
CR_07890W_A	EFG1	C1_05720W_A	C1_05720W_A	Direct
CR_07890W_A	EFG1	CR_01440C_A	CR_01440C_A	Direct
CR_07890W_A	EFG1	C3_03980C_A	C3_03980C_A	Direct
CR_07890W_A	EFG1	C1_02530C_A	DIP5	Direct
CR_07890W_A	EFG1	C1_03210C_A	CDC12	Direct
